id_camara,LPR,id_camara LPR,Tipo,latitud,longitud
437,,437,Comun,"-37,996752","-57,5475205"
438,,438,Comun,"-37,99916","-57,5424627"
440,LPR 1( SUR),440 LPR 1( SUR),LPR,"-38,012756","-57,5325835"
440,,440,Comun,"-38,012756","-57,5325835"
440,,440,Comun,"-38,012756","-57,5325835"
442,,442,Comun,"-38,024548","-57,5288615"
445,,445,Comun,"-37,9926","-57,55569"
446,,446,Comun,"-38,004433","-57,5792843"
447,,447,Comun,"-38,003964","-57,5846452"
448,,448,Comun,"-37,994489","-57,5769418"
449,,449,Comun,"-37,963516","-57,557689"
450,,450,Comun,"-37,971696","-57,5614799"
451,,451,Comun,"-37,952635","-57,5657246"
452,,452,Comun,"-37,95002","-57,5579859"
453,,453,Comun,"-37,95868","-57,5537985"
454,,454,Comun,"-37,964789","-57,5685505"
455,,455,Comun,"-38,015992","-57,547611"
456,,456,Comun,"-38,011749","-57,5427843"
457,,457,Comun,"-38,01283","-57,5450599"
459,,459,Comun,"-38,033221","-57,5799064"
460,,460,Comun,"-38,036475","-57,5772913"
462,,462,Comun,"-38,025842","-57,5897057"
464,,464,Comun,"-38,018868","-57,5798869"
465,,465,Comun,"-38,00974","-57,5835032"
466,,466,Comun,"-38,012617","-57,5866264"
468,,468,Comun,"-38,009728","-57,5904583"
469,,469,Comun,"-38,005719","-57,5957701"
471,,471,Comun,"-38,007204","-57,6040867"
473,,473,Comun,"-37,999872","-57,6086476"
475,,475,Comun,"-37,988587","-57,6061479"
476,,476,Comun,"-38,009959","-57,5639469"
477,,477,Comun,"-38,006786","-57,5613468"
478,,478,Comun,"-38,003634","-57,5588173"
479,,479,Comun,"-38,01314","-57,5665124"
480,,480,Comun,"-38,004888","-57,5541312"
481,,481,Comun,"-38,000573","-57,5649334"
482,,482,Comun,"-37,995914","-57,5583435"
483,,483,Comun,"-37,993294","-57,5702898"
484,,484,Comun,"-37,981638","-57,5751349"
485,,485,Comun,"-37,987171","-57,5823898"
486,,486,Comun,"-37,984941","-57,5777741"
487,,487,Comun,"-38,108741","-57,5768095"
488,,488,Comun,"-37,983428","-57,5807848"
490,,490,Comun,"-37,990403","-57,5849884"
491,,491,Comun,"-37,978611","-57,5500002"
492,,492,Comun,"-38,111384","-57,5839977"
493,,493,Comun,"-38,099064","-57,5584912"
497,,497,Comun,"-38,058345","-57,5451502"
498,,498,Comun,"-37,95364","-57,5372696"
499,,499,Comun,"-37,946953","-57,5352097"
501,,501,Comun,"-37,939808","-57,5458627"
502,,502,Comun,"-37,955678","-57,5597628"
503,,503,Comun,"-37,969583","-57,5455234"
504,,504,Comun,"-37,967634","-57,5495718"
505,,505,Comun,"-37,97387","-57,5461575"
506,,506,Comun,"-37,974439","-57,5494275"
507,,507,Comun,"-37,981561","-57,5551961"
508,,508,Comun,"-37,989619","-57,5504221"
509,,509,Comun,"-37,98679","-57,5650311"
510,,510,Comun,"-37,975606","-57,5559727"
511,,511,Comun,"-37,971641","-57,5527934"
512,,512,Comun,"-37,979052","-57,5601646"
513,,513,Comun,"-37,961815","-57,578702"
516,,516,Comun,"-37,951647","-57,5988641"
519,,519,Comun,"-37,995449","-57,5478602"
520,LPR,520 LPR,LPR,"-37,999288","-57,5538767"
520,,520,Comun,"-37,999288","-57,5538767"
520,,520,Comun,"-37,999288","-57,5538767"
521,,521,Comun,"-38,000537","-57,5491844"
522,,522,Comun,"-38,001552","-57,5471858"
523,,523,Comun,"-38,003471","-57,5501622"
524,,524,Comun,"-37,988533","-57,5750912"
525,,525,Comun,"-37,979914","-57,5877511"
526,,526,Comun,"-37,980464","-57,5910354"
528,,528,Comun,"-37,976644","-57,5964005"
529,,529,Comun,"-37,963847","-57,6059138"
530,,530,Comun,"-37,961101","-57,6135226"
531,,531,Comun,"-37,960294","-57,6215874"
532,,532,Comun,"-37,965956","-57,6104459"
536,,536,Comun,"-37,961216","-57,6065567"
537,,537,Comun,"-37,978957","-57,5715179"
538,,538,Comun,"-37,981645","-57,5821487"
540,,540,Comun,"-37,990344","-57,5693109"
541,,541,Comun,"-37,991072","-57,5656844"
542,,542,Comun,"-37,996101","-57,5556947"
543,,543,Comun,"-37,998247","-57,5515614"
544,,544,Comun,"-37,999032","-57,5521837"
470,,470,Comun,"-38,015299","-57,5883111"
545,,545,Comun,"-38,017162","-57,5387037"
546,,546,Comun,"-38,01326","-57,5397985"
547,,547,Comun,"-38,023911","-57,5385385"
549,,549,Comun,"-38,018079","-57,5478822"
550,,550,Comun,"-38,015361","-57,5400556"
551,,551,Comun,"-38,013034","-57,5424318"
552,,552,Comun,"-38,025692","-57,5596354"
553,,553,Comun,"-38,014827","-57,5564941"
554,,554,Comun,"-38,017507","-57,5600728"
555,,555,Comun,"-38,012391","-57,5503219"
556,,556,Comun,"-38,008369","-57,5583275"
557,,557,Comun,"-38,01209","-57,5641472"
558,,558,Comun,"-38,016046","-57,5518769"
559,,559,Comun,"-38,01497","-57,5650424"
560,,560,Comun,"-38,009543","-57,5735691"
562,,562,Comun,"-37,997633","-57,5795038"
563,,563,Comun,"-37,995693","-57,5921228"
564,,564,Comun,"-37,988055","-57,6028106"
565,,565,Comun,"-38,047367","-57,5717257"
566,,566,Comun,"-38,051882","-57,5657271"
568,,568,Comun,"-37,94879","-57,5866846"
570,,570,Comun,"-38,010241","-57,5457799"
571,,571,Comun,"-38,009231","-57,5477932"
572,,572,Comun,"-38,007115","-57,6700309"
573,LPR 1 (SUR),573 LPR 1 (SUR),LPR,"-38,006574","-57,6914886"
573,,573,Comun,"-38,006574","-57,6914886"
577,,577,Comun,"-38,020857","-57,6239556"
